,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao
3780,473c839,16/10/2019,01/10/2018,,83,26,495,1,1,1,9,3
1561,4740581,21/10/2019,15/02/2019,10000.0,60,6,41,102,1,1,17,5
2207,474134f,07/10/2019,23/05/2017,,48,4,58,1,1,1,1,1
1527,4742d0f,28/10/2019,02/02/2019,10000.0,8,10,83,2210,1,1,10,4
2629,4747040,30/10/2019,09/07/2018,5000.0,13,13,801,1,1,1,9,3
2992,4755362,15/10/2019,26/09/2018,30000.0,6,1,6,802,1,1,8,3
2710,475c5fa,23/09/2019,06/11/2017,,11,8,807,0,1,3,3,2
333,476e72c,28/10/2019,29/08/2018,15000.0,1,3,43,1065,1,1,2,1
3817,478dd46,17/10/2019,04/07/2017,,84,8,31,97,1,1,2,1
974,47907cf,20/09/2019,12/01/2018,10000.0,13,13,74,698,1,1,2,1
318,479ce96,04/09/2019,29/08/2018,25000.0,11,8,92,1346,1,1,8,3
241,479fa4d,21/10/2019,13/12/2018,,4,4,167,1266,1,1,1,1
2503,47b306c,28/10/2019,15/04/2019,21000.0,2,2,256,1905,1,1,8,3
3801,47b7b63,28/10/2019,09/03/2019,20000.0,15,5,77,1,1,1,4,2
2832,47ba54c,21/10/2019,23/11/2017,,8,10,785,0,1,3,5,1
766,47c3df1,24/10/2019,12/03/2019,,23,25,228,1,1,1,2,1
3914,47c4a21,07/10/2019,21/12/2018,20000.0,1,3,140,859,1,1,1,1
483,47d0126,01/10/2019,31/01/2018,30000.0,4,4,92,1,1,1,8,3
3746,47d91a6,21/10/2019,13/12/2018,30000.0,32,5,5,1443,1,2,5,1
1717,47db52a,28/10/2019,04/04/2019,20000.0,5,9,42,189,1,1,15,3
1473,47db6f0,28/10/2019,30/03/2017,118000.0,7,7,2,1,1,1,2,1
2966,47de702,16/09/2019,26/10/2017,,58,26,632,1128,1,1,6,2
986,47e02f5,16/10/2019,16/03/2019,7000.0,4,4,194,0,1,1,6,2
1331,47e369d,02/09/2019,15/11/2018,34000.0,1,3,53,2993,1,1,1,1
71,47e3d59,11/10/2019,09/11/2017,25000.0,3,1,36,1,1,1,3,2
971,47fc084,21/10/2019,28/04/2018,17600.0,4,4,26,1,1,1,5,1
3476,47fca07,16/10/2019,14/03/2019,25000.0,1,3,9,30,1,1,6,2
1338,4802643,28/10/2019,06/12/2018,11000.0,3,1,1,568,1,1,1,1
1445,48032da,16/10/2019,18/08/2018,20000.0,2,2,128,72,1,1,21,5
3877,4803427,11/10/2019,25/08/2018,12000.0,10,12,52,1,1,1,4,2
1753,4804f5e,28/10/2019,09/10/2018,8000.0,110,6,24,3043,1,1,1,1
479,480bc94,07/10/2019,30/07/2018,40000.0,11,8,556,0,1,1,3,2
3088,481477b,25/10/2019,25/04/2019,50000.0,9,11,3,724,1,1,3,2
3651,4817b28,18/09/2019,05/04/2018,25000.0,7,7,28,2341,1,1,1,1
524,481fd87,30/09/2019,21/11/2018,60000.0,2,2,32,605,1,1,16,3
2718,48211d4,24/10/2019,10/03/2018,10000.0,30,8,230,992,1,1,3,2
1698,4829106,07/10/2019,01/03/2017,200000.0,2,2,10,137,1,1,11,3
2891,48502c9,07/10/2019,12/02/2019,20000.0,27,19,1,1,1,1,1,1
3114,4871a9a,07/10/2019,12/05/2018,5000.0,4,4,195,0,1,1,4,2
341,487dcea,28/10/2019,30/08/2018,30000.0,10,12,29,1929,1,1,5,1
2682,4881cfa,07/10/2019,01/12/2018,52000.0,38,26,24,1,1,1,1,1
649,488799e,30/09/2019,23/11/2018,9000.0,4,4,461,0,1,1,6,2
2393,488cf94,17/10/2019,26/07/2018,55000.0,7,7,59,3270,1,1,1,1
1897,488fb3b,25/09/2019,28/07/2017,,5,9,38,50,1,1,1,1
633,48959cf,25/09/2019,17/04/2018,40000.0,7,7,123,475,1,1,8,3
3984,4898892,28/10/2019,05/09/2018,50000.0,4,4,209,459,1,1,1,1
3009,489a966,07/10/2019,18/01/2019,35000.0,2,2,209,459,1,1,1,1
873,48a34ce,18/09/2019,07/02/2018,7000.0,9,11,2,316,1,1,2,1
1189,48a869a,15/10/2019,21/12/2018,10000.0,5,9,1,3265,1,1,1,1
2260,48abf6c,25/09/2019,14/12/2017,50000.0,46,16,42,1,1,1,15,3
3201,48be64e,28/10/2019,25/04/2019,10000.0,1,3,10,653,1,1,11,3
2110,48c5d92,16/09/2019,19/12/2018,12000.0,2,2,31,154,1,1,2,1
3933,48c9e5a,17/10/2019,29/08/2017,,71,5,57,674,1,1,6,2
1990,48cd2fb,26/09/2019,15/02/2019,40000.0,3,1,2,553,1,1,2,1
2959,48d2a15,07/10/2019,17/10/2018,,2,2,182,1,2,5,6,2
1208,48d749d,28/10/2019,04/05/2018,25000.0,3,1,51,66,1,4,22,5
727,48ea0f6,20/09/2019,01/09/2017,60000.0,4,4,222,1,1,1,3,2
2167,48f054c,01/10/2019,09/05/2017,50000.0,21,24,2,203,1,1,2,1
1495,48fc6ff,16/10/2019,22/03/2019,15000.0,1,3,4,406,1,1,7,4
3322,4900ec7,28/10/2019,09/03/2018,6000.0,1,3,17,2204,1,1,2,1
990,4904023,25/10/2019,26/09/2018,10000.0,7,7,389,13,1,1,2,1
2455,4906f24,21/10/2019,25/02/2019,,6,1,64,2597,1,1,4,2
1988,49076b8,07/10/2019,15/09/2018,65000.0,10,12,674,0,1,1,13,3
2600,490bcac,30/09/2019,12/01/2019,8000.0,3,1,2,28,1,1,2,1
1520,491ba30,28/10/2019,21/03/2019,40000.0,11,8,113,1975,1,1,1,1
2877,4923a22,11/10/2019,28/09/2017,,30,8,1,3168,1,1,1,1
3348,4928bbc,23/10/2019,25/10/2018,10000.0,17,20,11,1,1,1,4,2
3387,492ce80,07/10/2019,03/08/2016,,65,19,1,313,1,1,1,1
2340,4934811,21/10/2019,15/03/2019,20000.0,3,1,55,15,1,1,1,1
110,49416ee,25/09/2019,26/04/2018,40000.0,46,16,3,7,1,1,3,2
2849,4951c6d,09/10/2019,27/04/2018,13100.0,2,2,12,2685,1,1,1,1
1426,49561de,25/10/2019,07/06/2018,4000.0,61,5,16,632,1,1,4,2
1285,4969330,26/09/2019,16/02/2019,40000.0,2,2,692,0,1,1,9,3
416,496e630,30/10/2019,01/11/2018,5000.0,2,2,122,0,1,1,2,1
1025,496f623,02/09/2019,14/11/2018,50000.0,1,3,130,3277,1,1,1,1
314,497238b,13/09/2019,17/08/2017,36000.0,2,2,2,8,1,1,2,1
3673,497559d,17/10/2019,05/01/2018,15000.0,93,6,86,477,1,1,4,2
2245,4975918,28/10/2019,05/04/2019,15000.0,9,11,33,408,1,1,1,1
1318,497a8cd,16/10/2019,13/03/2019,200000.0,100,6,345,0,1,4,3,2
1478,497fd7a,30/10/2019,01/10/2018,23000.0,3,1,3,1,1,1,3,2
1861,49825c1,30/10/2019,27/08/2018,5000.0,17,20,126,2138,1,1,4,2
869,4982725,20/09/2019,10/04/2018,10000.0,17,20,2,8,1,1,2,1
3676,4986d13,30/09/2019,30/07/2018,50000.0,13,13,1,15,1,1,1,1
1664,4998182,07/10/2019,19/10/2017,120000.0,120,19,2,22,1,1,2,1
583,4998951,26/09/2019,24/10/2018,50000.0,43,1,1,197,1,1,1,1
198,499b458,20/09/2019,08/02/2018,,77,6,320,1,1,1,4,2
2364,49a01c3,17/10/2019,11/08/2015,,35,16,25,462,1,1,1,1
2738,49acb10,20/09/2019,17/01/2018,,1,3,2,374,1,1,2,1
339,49c364f,01/10/2019,24/08/2018,30000.0,38,26,108,1,1,1,1,1
3678,49de47f,07/10/2019,13/12/2018,25000.0,4,4,348,0,1,1,6,2
2696,49df376,26/09/2019,21/09/2018,150000.0,7,7,1,27,1,1,1,1
1137,49e8047,21/10/2019,07/02/2019,8000.0,3,1,104,1,1,1,9,3
3850,49ea9a6,30/09/2019,25/01/2019,20000.0,4,4,7,376,1,1,9,3
2490,49f886e,31/10/2019,12/03/2019,20000.0,11,8,75,3255,1,1,1,1
1058,49fdbdb,23/10/2019,17/07/2017,80000.0,76,10,1,6,1,1,1,1
3688,4a059e3,01/10/2019,13/12/2018,120000.0,1,3,1,56,1,1,1,1
2745,4a1bc0e,02/10/2019,31/01/2019,25000.0,22,15,137,1,1,1,9,3
247,4a262e8,16/10/2019,27/03/2019,,35,16,104,1,1,1,9,3
4046,4a28cd3,16/10/2019,22/11/2018,12000.0,4,4,38,1,1,1,1,1
1620,4a377dc,11/10/2019,18/10/2018,27000.0,16,14,4,261,1,1,7,4
1699,4a387c7,16/10/2019,27/03/2019,15000.0,8,10,4,62,1,1,7,4
4135,4a4b382,26/09/2019,20/07/2017,,4,4,35,42,1,1,4,2
3854,4a4dafe,20/09/2019,01/11/2018,,17,20,35,325,1,1,4,2
3226,4a53fad,23/09/2019,15/08/2018,25000.0,2,2,584,0,1,1,4,2
3722,4a6a188,16/10/2019,05/09/2017,,38,26,90,1,1,1,6,2
3919,4a6b697,04/09/2019,14/05/2018,20000.0,8,10,183,2655,1,1,10,4
112,4a6b7a2,02/10/2019,21/01/2019,90000.0,7,7,183,0,1,1,10,4
240,4a6c041,07/10/2019,17/01/2019,12500.0,5,9,9,184,1,1,6,2
82,4a6c404,24/10/2019,12/03/2018,15000.0,26,18,25,114,1,1,1,1
40,4a6e002,18/09/2019,13/04/2018,17000.0,2,2,127,2425,1,1,4,2
499,4a6eb23,07/10/2019,26/04/2018,,56,6,111,2622,1,1,12,1
1200,4a85c89,25/10/2019,26/03/2019,80000.0,4,4,240,0,1,1,6,2
2410,4a876bc,21/10/2019,18/01/2019,15000.0,91,6,54,1549,1,1,2,1
1758,4a89d0a,31/10/2019,30/04/2019,25000.0,2,2,98,1,1,1,9,3
2089,4a8c743,31/10/2019,11/04/2019,10000.0,50,5,2,22,1,1,2,1
948,4a95b3c,24/10/2019,14/02/2019,20000.0,9,11,1,417,1,1,1,1
1869,4a990a5,28/10/2019,18/10/2018,500000.0,4,4,31,202,1,1,2,1
1443,4aa132c,07/10/2019,29/01/2019,9000.0,13,13,136,2561,1,1,10,4
3037,4aa3334,31/10/2019,21/12/2018,15000.0,16,14,230,992,1,1,3,2
3668,4aa58ae,26/09/2019,23/01/2019,22000.0,53,7,126,396,1,1,4,2
2202,4aad7e3,13/09/2019,01/06/2018,12000.0,1,3,288,1,1,1,1,1
122,4ab986e,15/10/2019,08/11/2017,20000.0,60,6,505,0,1,3,5,1
3681,4aba1e5,28/10/2019,28/12/2018,15000.0,1,3,2,2512,1,1,2,1
3637,4ac5cba,02/09/2019,14/11/2018,12000.0,5,9,60,2688,1,2,5,1
905,4ad5f25,21/10/2019,19/02/2019,31000.0,12,1,5,402,1,2,5,1
2371,4adeb72,24/10/2019,11/12/2017,35000.0,12,1,26,66,1,1,5,1
1419,4aee8e1,17/10/2019,12/03/2019,10000.0,3,1,187,650,1,1,13,3
2601,4af0d59,28/10/2019,15/03/2019,27400.0,144,6,243,1,1,4,9,3
2943,4af1f10,10/10/2019,19/02/2019,20000.0,1,3,20,2274,1,1,14,3
967,4af34d0,31/10/2019,03/12/2017,500000.0,78,5,2,5,1,1,2,1
2939,4af505f,28/10/2019,26/03/2019,4000.0,3,1,99,1317,1,1,1,1
3776,4af5a8a,13/09/2019,30/11/2018,20000.0,8,10,172,1,1,1,6,2
4132,4afb10e,18/09/2019,01/11/2017,,2,2,10,991,1,1,11,3
750,4afc2d2,30/10/2019,02/08/2018,,3,1,16,3152,1,1,4,2
2417,4afd6b3,24/10/2019,06/09/2017,30000.0,1,3,1,197,1,1,1,1
3494,4b0f260,07/10/2019,21/12/2018,15000.0,17,20,112,1,1,4,2,1
1444,4b120da,30/10/2019,28/03/2019,2050.0,10,12,2,174,1,1,2,1
42,4b14446,30/09/2019,24/03/2018,70000.0,121,16,42,127,1,1,15,3
3456,4b1d94b,16/10/2019,29/03/2019,70000.0,11,8,65,128,1,3,1,1
83,4b20270,21/10/2019,18/09/2017,20000.0,15,5,18,69,1,1,3,2
3600,4b2de99,16/10/2019,27/11/2017,,2,2,1,685,1,1,1,1
2822,4b36a9e,07/10/2019,19/12/2017,40000.0,13,13,1,205,1,1,1,1
1441,4b384e1,21/10/2019,14/12/2017,,63,22,22,2061,1,2,1,1
206,4b4ac52,30/10/2019,18/10/2018,15000.0,36,22,104,1,1,1,9,3
2193,4b4ca33,30/10/2019,14/09/2018,20000.0,3,1,81,1184,1,1,12,1
3940,4b506e8,04/09/2019,23/10/2018,10000.0,10,12,4,78,1,1,7,4
1919,4b5c4ef,21/10/2019,10/11/2018,50000.0,3,1,124,2809,1,1,9,3
4054,4b5ebab,31/10/2019,12/04/2019,20000.0,2,2,470,0,1,1,1,1
1545,4b611af,08/10/2019,04/10/2017,,2,2,3,7,1,1,3,2
2771,4b62f4a,16/10/2019,17/11/2018,10000.0,98,5,513,0,1,2,5,1
1404,4b6b19b,16/10/2019,22/08/2017,,3,1,10,576,1,1,11,3
3229,4b7a6da,25/10/2019,21/07/2018,10000.0,86,13,1,27,1,1,1,1
3404,4b7e913,11/09/2019,23/10/2018,30000.0,44,19,9,152,1,1,6,2
3650,4b82e44,30/09/2019,17/08/2018,60000.0,8,10,2,124,1,1,2,1
3634,4b83007,24/10/2019,05/12/2018,20000.0,27,19,215,0,1,1,4,2
1757,4b84330,30/10/2019,25/03/2019,15000.0,24,16,134,1,1,1,1,1
1314,4b8a1a8,23/09/2019,14/12/2016,,73,7,5,0,1,2,5,1
4169,4b91f4b,08/10/2019,18/01/2019,20000.0,2,2,93,1494,1,1,5,1
1973,4b94f8b,31/10/2019,30/03/2019,25000.0,17,20,21,1,1,1,5,1
172,4b98095,28/10/2019,21/03/2019,400000.0,35,16,1,29,1,1,1,1
3793,4bb8c65,10/09/2019,28/09/2018,201000.0,2,2,51,1,1,4,22,5
1801,4bbe66f,31/10/2019,01/08/2018,11000.0,4,4,32,250,1,1,16,3
575,4bbfcba,16/10/2019,21/03/2019,25000.0,16,14,1,3106,1,1,1,1
1068,4bc07a4,28/10/2019,30/04/2019,15000.0,1,3,516,0,1,1,1,1
2206,4bc4c88,02/10/2019,14/01/2019,,119,6,6,881,1,1,8,3
3744,4bccc0d,02/09/2019,21/11/2018,,43,1,41,1575,1,1,17,5
4047,4bd55ef,25/09/2019,15/08/2018,139000.0,135,22,120,524,1,1,23,3
2998,4bd6cf5,21/10/2019,17/11/2018,16000.0,4,4,23,2729,1,1,13,3
2985,4bdef8b,07/10/2019,23/01/2019,,1,3,4,4,1,1,7,4
3464,4be6670,23/09/2019,16/03/2018,15000.0,16,14,568,0,1,1,4,2
3718,4be9759,01/10/2019,09/08/2018,15000.0,46,16,194,0,1,1,6,2
3047,4bf1403,11/09/2019,12/12/2018,30000.0,8,10,2,1,1,1,2,1
3197,4c07072,21/10/2019,15/08/2018,25000.0,29,6,32,295,1,1,16,3
3098,4c0dbce,07/10/2019,20/10/2017,20000.0,4,4,495,1,1,1,9,3
1907,4c0eef0,31/10/2019,10/12/2018,8000.0,3,1,300,1477,1,1,1,1
997,4c11c2a,16/09/2019,29/08/2018,,11,8,215,0,1,1,4,2
2827,4c1d562,07/10/2019,26/09/2017,18000.0,19,17,9,370,1,1,6,2
108,4c1f0c4,23/09/2019,10/08/2018,15000.0,17,20,141,25,1,1,17,5
3619,4c24850,06/09/2019,04/05/2018,28000.0,2,2,7,622,1,1,9,3
3968,4c27197,21/10/2019,01/12/2017,7000.0,62,6,133,1,1,1,1,1
292,4c49621,28/10/2019,24/10/2017,15000.0,4,4,11,617,1,1,4,2
3094,4c4d423,08/10/2019,28/09/2017,60000.0,50,5,48,57,1,1,2,1
1405,4c63d0f,26/09/2019,26/02/2019,10263.0,38,26,44,2538,1,1,18,3
2269,4c7edfb,30/10/2019,13/11/2017,12700.0,7,7,281,0,1,1,1,1
3099,4c7efbc,30/10/2019,01/04/2019,20000.0,11,8,96,2549,1,1,1,1
1253,4c7fcb2,16/10/2019,09/11/2018,120000.0,2,2,434,0,1,1,10,4
1730,4c8bf0a,11/10/2019,01/11/2017,,1,3,27,193,1,2,1,1
1243,4c93623,20/09/2019,26/10/2016,16000.0,22,15,28,301,1,1,1,1
1223,4c9be71,28/10/2019,29/08/2018,25000.0,3,1,4,74,1,1,7,4
4120,4c9f07f,10/09/2019,23/12/2016,30000.0,1,3,10,1,1,1,11,3
1993,4ca1c43,05/09/2019,06/07/2018,,52,1,125,212,1,1,12,1
155,4caf984,03/10/2019,20/11/2018,8000.0,2,2,237,1,1,2,5,1
1354,4cb88d9,07/10/2019,28/08/2018,12000.0,10,12,1,293,1,1,1,1
3628,4ccdbf4,11/10/2019,08/11/2017,15000.0,37,6,184,500,1,1,1,1
926,4cd4236,08/10/2019,26/10/2018,7000.0,41,5,41,849,1,1,17,5
2251,4cd9b90,26/09/2019,05/09/2018,8000.0,13,13,11,172,1,1,4,2
780,4ce66a7,30/09/2019,11/12/2016,30000.0,2,2,63,490,1,1,2,1
1400,4cec579,06/09/2019,06/06/2018,10000.0,60,6,663,0,1,1,11,3
1255,4cf2434,02/10/2019,10/01/2018,20000.0,1,3,94,1,1,1,3,2
205,4cf8da8,28/10/2019,16/07/2018,50000.0,107,15,8,1385,1,1,10,4
2416,4cfd505,01/10/2019,12/01/2018,15000.0,60,6,274,0,1,1,1,1
2377,4d1087f,04/09/2019,23/11/2018,22000.0,2,2,1,0,1,1,1,1
2485,4d10b83,26/09/2019,25/01/2018,20000.0,3,1,67,2843,1,1,2,1
1215,4d18fe4,20/09/2019,11/12/2018,150000.0,4,4,34,100,1,1,2,1
467,4d30f4b,28/10/2019,06/07/2018,2000.0,3,1,3,277,1,1,3,2
3482,4d384f6,18/09/2019,09/02/2018,20000.0,1,3,33,139,1,1,1,1
2749,4d47d72,31/10/2019,26/11/2018,90000.0,16,14,1,204,1,1,1,1
4115,4d57b79,08/10/2019,04/02/2019,56500.0,5,9,155,1553,1,1,1,1
3420,4d58d99,17/10/2019,01/03/2019,25000.0,10,12,845,0,1,1,18,3
3829,4d5d068,07/10/2019,17/10/2018,100000.0,4,4,4,4,1,1,7,4
1942,4d64460,23/09/2019,22/12/2017,,16,14,226,2713,1,1,1,1
1493,4d68795,07/10/2019,13/02/2019,45000.0,12,1,342,0,1,2,5,1
259,4d6ee5e,10/10/2019,18/05/2017,,1,3,97,1193,1,3,1,1
3401,4d87109,15/10/2019,19/02/2019,25000.0,24,16,256,1,1,1,8,3
2018,4d966bd,30/10/2019,14/11/2017,20000.0,1,3,281,0,1,1,1,1
4112,4d96a42,02/09/2019,23/11/2018,20000.0,2,2,4,82,1,1,7,4
3822,4d9717e,21/10/2019,20/03/2018,10000.0,1,3,13,502,1,1,1,1
93,4d9cc1b,16/10/2019,28/03/2019,20000.0,41,5,21,590,1,1,5,1
1310,4db6bae,08/10/2019,07/02/2019,30000.0,4,4,85,7,1,1,1,1
3872,4dc2084,21/10/2019,12/04/2018,10000.0,2,2,1,1543,1,1,1,1
370,4dc4400,30/10/2019,14/01/2019,10000.0,30,8,14,342,1,1,3,2
1375,4ddbecc,07/10/2019,23/01/2019,55000.0,1,3,23,123,1,1,13,3
1297,4dfa6cf,19/09/2019,04/04/2018,4000.0,4,4,1,3,1,1,1,1
2439,4e007f6,21/10/2019,22/08/2018,6500.0,7,7,92,1386,1,1,8,3
1383,4e00879,07/10/2019,27/02/2019,35000.0,2,2,2,302,1,1,2,1
3245,4e150c7,18/09/2019,09/11/2018,15000.0,2,2,3,38,1,1,3,2
4018,4e18762,28/10/2019,27/04/2019,4900.0,16,14,34,419,1,1,2,1
153,4e27479,10/10/2019,11/12/2018,5000.0,19,17,1,695,1,1,1,1
2326,4e275fc,26/09/2019,06/12/2018,15000.0,12,1,60,1068,1,2,5,1
662,4e42122,16/10/2019,06/04/2018,13000.0,4,4,36,518,1,1,3,2
4118,4e42339,07/10/2019,29/08/2018,12000.0,50,5,2,73,1,1,2,1
3340,4e4b5ea,19/09/2019,20/02/2017,,2,2,11,1,1,1,4,2
89,4e726b0,01/10/2019,07/12/2017,,4,4,9,30,2,5,6,2
2137,4e7a78d,23/10/2019,15/02/2019,25000.0,12,1,699,0,1,4,3,2
2707,4e92ba3,24/10/2019,23/02/2018,55000.0,16,14,3,7,1,1,3,2
3602,4e97aca,31/10/2019,07/04/2017,,19,17,1,3256,1,1,1,1
597,4e9d91b,30/10/2019,15/01/2019,75000.0,1,3,34,0,1,1,2,1
3565,4ea3558,09/10/2019,22/08/2018,40000.0,2,2,23,217,1,1,13,3
3118,4ea4913,31/10/2019,30/05/2018,10000.0,127,22,2,497,1,1,2,1
4123,4ea5b60,11/10/2019,15/12/2017,15000.0,49,8,16,231,1,1,4,2
1194,4eb06e6,23/09/2019,18/09/2018,25000.0,109,6,4,229,1,1,7,4
548,4eb0e35,18/09/2019,22/03/2018,,1,3,22,513,1,2,1,1
600,4eb20b0,26/09/2019,20/12/2018,8705.0,4,4,578,0,1,3,3,2
2776,4eb42d4,13/09/2019,16/11/2018,26000.0,26,18,110,1274,1,1,1,1
1464,4eb64cb,06/09/2019,21/11/2018,15000.0,10,12,7,1302,1,1,9,3
3960,4eb6c03,16/10/2019,05/09/2017,15800.0,4,4,58,2305,1,1,1,1
1100,4ec4d39,16/09/2019,02/07/2018,20000.0,8,10,1,158,1,1,1,1
3981,4ee6a8b,30/10/2019,23/10/2018,15000.0,15,5,16,527,1,1,4,2
2967,4ee6d08,31/10/2019,12/12/2018,12000.0,2,2,6,198,1,1,8,3
3766,4ef8270,25/09/2019,08/03/2018,30000.0,68,6,33,139,1,1,1,1
1480,4eff40b,13/09/2019,01/11/2018,19000.0,1,3,2,67,1,1,2,1
1767,4f01aee,23/09/2019,05/12/2017,10000.0,2,2,89,1156,1,1,1,1
2764,4f07e32,28/10/2019,03/04/2017,,13,13,337,1,1,1,1,1
3035,4f09835,26/09/2019,29/11/2018,20000.0,20,23,26,1,1,1,5,1
3774,4f10a84,09/10/2019,25/02/2019,20000.0,31,4,48,420,1,1,2,1
2720,4f219a2,07/10/2019,31/01/2019,15500.0,11,8,31,609,1,1,2,1
1850,4f2ced6,09/09/2019,18/10/2018,25000.0,1,3,6,21,1,1,8,3
1612,4f2d444,18/09/2019,22/11/2018,20000.0,1,3,31,942,1,1,2,1
591,4f2e343,16/10/2019,20/03/2019,25000.0,8,10,18,614,1,1,3,2
1958,4f31436,08/10/2019,05/02/2019,20000.0,48,4,173,0,1,1,2,1
3636,4f37ff1,25/09/2019,01/02/2018,,131,5,195,0,1,1,4,2
647,4f4e55b,06/09/2019,06/09/2018,15000.0,6,1,5,682,1,2,5,1
831,4f5347a,09/09/2019,06/04/2018,10000.0,1,3,2,1,1,1,2,1
515,4f58abd,15/10/2019,19/10/2018,,18,21,81,44,1,1,12,1
4138,4f5cca8,07/10/2019,27/07/2018,3000.0,24,16,284,0,1,1,1,1
2001,4f60571,17/10/2019,05/02/2019,12000.0,12,1,1,800,1,1,1,1
910,4f6712a,04/09/2019,08/11/2018,10000.0,28,8,60,2001,1,2,5,1
457,4f69889,25/09/2019,28/08/2018,8000.0,13,13,115,1,1,1,6,2
190,4f71d70,16/10/2019,23/07/2018,17000.0,1,3,1,2124,1,1,1,1
2624,4f79a84,21/10/2019,09/06/2018,20000.0,4,4,3,26,1,1,3,2
3210,4f7acb0,26/09/2019,26/09/2018,40000.0,1,3,54,191,1,1,2,1
3265,4f7baef,28/10/2019,25/09/2018,80000.0,6,1,1,1242,1,1,1,1
1006,4f856d6,30/10/2019,24/03/2017,20000.0,82,5,1,1,1,1,1,1
3754,4f8a939,28/10/2019,13/03/2019,8000.0,17,20,7,1094,1,1,9,3
2201,4f96b5a,25/09/2019,20/10/2018,25000.0,20,23,72,679,1,1,6,2
1294,4f9c05b,17/10/2019,30/08/2018,11700.0,4,4,6,115,1,1,8,3
803,4fa5e37,16/10/2019,28/09/2018,60000.0,4,4,517,0,1,1,1,1
3028,4fd4532,25/09/2019,20/12/2018,20000.0,18,21,83,2884,1,1,10,4
3963,4fe206c,17/10/2019,22/01/2019,25000.0,7,7,187,2501,1,1,13,3
19,4feb40f,25/10/2019,22/03/2019,20000.0,1,3,82,82,1,2,1,1
2003,4ff6df5,25/10/2019,18/04/2019,9500.0,4,4,193,393,1,1,6,2
3998,4ff81df,17/10/2019,26/10/2018,180000.0,2,2,611,0,1,1,6,2
1270,50137f5,07/10/2019,07/02/2019,63400.0,5,9,6,2659,1,1,8,3
2136,503f038,02/09/2019,15/08/2018,5000.0,1,3,36,1,1,1,3,2
4081,504a17b,09/10/2019,26/01/2018,5000.0,4,4,1,6,1,1,1,1
1305,504b5b0,16/10/2019,20/12/2017,200000.0,3,1,1,1389,1,1,1,1
1560,5050064,15/10/2019,27/12/2017,,12,1,520,0,1,2,5,1
376,5053107,28/10/2019,24/02/2017,,17,20,365,1108,1,1,1,1
1553,505f0b5,07/10/2019,09/06/2016,,2,2,4,4,1,1,7,4
1015,5062cb4,07/10/2019,21/01/2019,30000.0,15,5,17,1,1,1,2,1
3430,506570d,20/09/2019,16/08/2018,43000.0,43,1,323,0,1,1,4,2
3433,50694fd,28/10/2019,19/01/2018,18000.0,1,3,3,37,1,1,3,2
2650,508158f,07/10/2019,24/07/2015,,4,4,98,478,2,5,9,3
988,508471f,20/09/2019,03/05/2017,,9,11,10,2975,1,1,11,3
2811,508e3a7,28/10/2019,06/09/2017,6500.0,33,5,37,2423,1,1,2,1
935,5095cd5,08/10/2019,11/02/2019,170000.0,5,9,59,2636,1,1,1,1
1066,50a1fb4,09/10/2019,22/11/2017,10000.0,13,13,230,439,1,1,3,2
3461,50a38a0,09/10/2019,06/11/2018,16500.0,2,2,159,1,1,1,1,1
285,50ab826,20/09/2019,25/05/2017,,13,13,39,1,1,1,4,2
3833,50b76c9,25/10/2019,27/04/2018,60000.0,15,5,30,1,1,1,2,1
3495,50b84eb,16/10/2019,14/12/2018,9000.0,4,4,7,251,1,1,9,3
3017,50b8bc2,21/10/2019,07/05/2018,20000.0,1,3,57,51,1,1,6,2
3689,50b9687,28/10/2019,06/02/2019,5000.0,70,22,41,230,1,1,17,5
3860,50c3d53,28/10/2019,07/02/2019,5000.0,115,6,276,41,1,1,20,4
1656,50c56d7,25/09/2019,23/01/2018,,15,5,81,223,1,1,12,1
1184,50ce240,07/10/2019,16/03/2018,43000.0,38,26,3,1,1,1,3,2
1503,50cec2f,18/09/2019,17/10/2017,40000.0,72,5,1,280,1,1,1,1
4042,50d0ffb,31/10/2019,12/12/2017,15000.0,33,5,2,22,1,1,2,1
175,50d52b3,18/09/2019,27/11/2017,,1,3,8,810,1,1,10,4
3728,50e111e,30/10/2019,26/03/2019,26000.0,13,13,2,71,1,1,2,1
3622,50e973a,18/09/2019,21/12/2017,3000.0,11,8,223,135,1,3,19,4
3368,50f5f69,17/10/2019,23/03/2019,16000.0,53,7,315,0,1,1,1,1
4110,50fcf6c,07/10/2019,31/01/2019,20000.0,7,7,32,125,1,1,16,3
3253,50feaac,08/10/2019,27/11/2018,150000.0,71,5,66,304,1,1,20,4
2549,5102eab,01/10/2019,12/11/2018,15000.0,4,4,143,3,1,1,1,1
2976,5106613,11/10/2019,01/12/2017,,4,4,71,1,1,1,6,2
979,51135d9,28/10/2019,10/05/2017,4100.0,28,8,7,1217,1,1,9,3
1912,511b493,09/10/2019,19/10/2018,17000.0,11,8,1,263,1,1,1,1
355,5127be4,28/10/2019,28/01/2019,15000.0,7,7,24,2595,1,1,1,1
2633,512c17a,31/10/2019,13/12/2018,26000.0,33,5,8,799,1,1,10,4
445,512f9c0,28/10/2019,20/06/2018,7000.0,23,25,70,788,1,1,1,1
3071,5131f4c,02/10/2019,21/06/2018,5000.0,53,7,30,187,1,1,2,1
